Date,Open,High,Low,Close,Adj Close,Volume
2013-12-20,20.090000,20.090000,20.090000,20.090000,17.367594,0
2013-12-23,20.139999,20.139999,20.139999,20.139999,17.410814,0
2013-12-24,20.209999,20.209999,20.209999,20.209999,17.471331,0
2013-12-26,20.330000,20.330000,20.330000,20.330000,17.575069,0
2013-12-27,20.360001,20.360001,20.360001,20.360001,17.601007,0
2013-12-30,20.379999,20.379999,20.379999,20.379999,17.618296,0
2013-12-31,20.430000,20.430000,20.430000,20.430000,17.661518,0
2014-01-02,20.230000,20.230000,20.230000,20.230000,17.488626,0
2014-01-03,20.260000,20.260000,20.260000,20.260000,17.514559,0
2014-01-06,20.190001,20.190001,20.190001,20.190001,17.454041,0
2014-01-07,20.299999,20.299999,20.299999,20.299999,17.549137,0
2014-01-08,20.250000,20.250000,20.250000,20.250000,17.505911,0
2014-01-09,20.270000,20.270000,20.270000,20.270000,17.523199,0
2014-01-10,20.330000,20.330000,20.330000,20.330000,17.575069,0
2014-01-13,20.070000,20.070000,20.070000,20.070000,17.350300,0
2014-01-14,20.230000,20.230000,20.230000,20.230000,17.488626,0
2014-01-15,20.270000,20.270000,20.270000,20.270000,17.523199,0
2014-01-16,20.230000,20.230000,20.230000,20.230000,17.488626,0
2014-01-17,20.139999,20.139999,20.139999,20.139999,17.410814,0
2014-01-21,20.160000,20.160000,20.160000,20.160000,17.428108,0
2014-01-22,20.110001,20.110001,20.110001,20.110001,17.384880,0
2014-01-23,19.900000,19.900000,19.900000,19.900000,17.203339,0
2014-01-24,19.500000,19.500000,19.500000,19.500000,16.857546,0
2014-01-27,19.480000,19.480000,19.480000,19.480000,16.840252,0
2014-01-28,19.610001,19.610001,19.610001,19.610001,16.952635,0
2014-01-29,19.389999,19.389999,19.389999,19.389999,16.762447,0
2014-01-30,19.530001,19.530001,19.530001,19.530001,16.883478,0
2014-01-31,19.400000,19.400000,19.400000,19.400000,16.771097,0
2014-02-03,18.940001,18.940001,18.940001,18.940001,16.373430,0
2014-02-04,19.030001,19.030001,19.030001,19.030001,16.451235,0
2014-02-05,19.049999,19.049999,19.049999,19.049999,16.468529,0
2014-02-06,19.260000,19.260000,19.260000,19.260000,16.650066,0
2014-02-07,19.510000,19.510000,19.510000,19.510000,16.866186,0
2014-02-10,19.510000,19.510000,19.510000,19.510000,16.866186,0
2014-02-11,19.740000,19.740000,19.740000,19.740000,17.065020,0
2014-02-12,19.760000,19.760000,19.760000,19.760000,17.082314,0
2014-02-13,19.850000,19.850000,19.850000,19.850000,17.160109,0
2014-02-14,19.959999,19.959999,19.959999,19.959999,17.255211,0
2014-02-18,19.940001,19.940001,19.940001,19.940001,17.237919,0
2014-02-19,19.830000,19.830000,19.830000,19.830000,17.142826,0
2014-02-20,19.959999,19.959999,19.959999,19.959999,17.255211,0
2014-02-21,19.950001,19.950001,19.950001,19.950001,17.246561,0
