timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-07-02,115.1500,115.3700,115.0100,115.3600,115.3600,9057697,0.1555
2021-06-30,114.3600,115.4500,113.9700,115.3300,115.1744,124114866,0.1669
2021-05-28,114.4000,114.9700,113.7800,114.5500,114.2287,108441620,0.1726
2021-04-30,113.9300,115.1300,113.6900,114.4900,113.9969,114086542,0.1722
2021-03-31,114.9700,115.5899,113.2000,113.8300,113.1689,152165565,0.1897
2021-02-26,117.2000,117.2600,114.2000,115.3400,114.4814,111321716,0.1920
2021-01-29,118.0800,118.1400,116.5625,117.3100,116.2464,129568243,0.0000
2020-12-31,118.0300,118.2400,117.5133,118.1900,117.1184,110089551,0.3312
2020-11-30,117.2700,118.4500,117.0200,118.4200,117.0172,115539110,0.1921
2020-10-30,117.8100,118.1500,117.2000,117.2000,115.6222,118689634,0.2017
2020-09-30,118.1200,118.8700,117.9516,118.0600,116.2719,126280860,0.1952
2020-08-31,119.3700,119.7300,117.9500,118.3700,116.3853,143379407,0.2074
2020-07-31,117.9000,119.6300,117.7600,119.5600,117.3516,121317789,0.2229
2020-06-30,117.3500,118.3200,116.4800,118.2100,115.8079,111275169,0.2136
2020-05-29,116.9700,117.7100,116.0700,117.6500,115.0499,108579461,0.2363
2020-04-30,115.3800,117.6200,114.2800,117.1000,114.2810,134466509,0.2487
2020-03-31,116.2900,119.2700,105.5600,115.3700,112.3491,305336215,0.2390
2020-02-28,114.2000,116.3400,113.7601,116.2200,112.9440,125740708,0.2434
2020-01-31,112.6800,114.6700,112.4600,114.6500,111.1816,100133952,0.0000
2019-12-31,112.3100,113.1300,112.1300,112.3700,108.9706,110686863,0.4362
2019-11-29,112.9800,113.1600,111.6400,112.8600,109.0223,72613915,0.2514
2019-10-31,112.7100,113.8300,112.3100,113.1500,109.0597,77361916,0.2553
2019-09-30,113.8600,114.1200,111.7500,113.1700,108.8333,72251556,0.2633
2019-08-30,111.3400,114.3000,111.2600,114.1300,109.5032,92840228,0.2604
2019-07-31,111.2500,111.6000,110.6400,111.3000,106.5400,81488984,0.2520
2019-06-28,110.2600,111.5670,110.1300,111.3500,106.3469,78699203,0.2601
2019-05-31,108.4700,110.6400,108.1000,110.4000,105.1917,95192099,0.2603
2019-04-30,108.6200,108.7500,108.0200,108.5900,103.2192,91744193,0.2619
2019-03-29,106.7700,109.1800,106.6100,109.0700,103.4254,90257099,0.2668
2019-02-28,107.0900,107.5700,106.7700,107.0700,101.2755,98692960,0.2683
2019-01-31,106.5500,107.5300,106.2800,107.4600,101.3900,134324886,0.0000
2018-12-31,104.6900,106.5100,104.6300,106.4900,100.4748,149193234,0.4610
2018-11-30,104.2200,104.9900,103.9400,104.8800,98.5238,90057948,0.2563
2018-10-31,105.3500,105.4600,104.1900,104.5900,98.0106,126968718,0.2516
2018-09-28,106.0200,106.2700,105.1800,105.5200,98.6463,58737127,0.2324
2018-08-31,105.5500,106.7300,105.5100,106.4100,99.2608,71412210,0.2513
2018-07-31,106.1000,106.5500,105.8900,106.0600,98.6997,66221107,0.2292
2018-06-29,105.9500,106.4200,105.3800,106.3200,98.7282,71652118,0.2493
2018-05-31,105.7300,107.0000,105.0000,106.4600,98.6264,62417126,0.2401
2018-04-30,106.9000,107.0600,105.6000,106.0000,97.9777,96193200,0.2434
2018-03-29,106.5400,107.2600,106.0800,107.2500,98.9079,80511902,0.2351
2018-02-28,107.7500,107.8300,106.2600,106.7700,98.2487,92757593,0.2418
2018-01-31,109.2600,109.3100,107.8800,108.1000,99.2493,91781150,0.0000
2017-12-29,109.0200,109.5500,108.7100,109.3300,100.3786,58281953,0.2673
2017-11-30,109.1700,109.6300,108.9600,109.0800,99.9043,56763710,0.2280
2017-10-31,109.4300,109.8700,108.9500,109.4700,100.0527,50820283,0.2273
2017-09-29,110.1900,110.6600,109.5100,109.5900,99.9548,48123368,0.2297
2017-08-31,109.3800,110.4900,109.3600,110.4500,100.5292,56348127,0.2298
2017-07-31,109.3000,109.9600,108.8200,109.6500,99.5924,45881679,0.2252
2017-06-30,109.3600,110.2400,109.3409,109.5100,99.2604,53906054,0.2302
2017-05-31,108.8600,109.8100,108.3435,109.7600,99.2782,45180838,0.2391
2017-04-28,108.3100,109.7000,108.3000,109.2500,98.6001,46051238,0.2224
2017-03-31,108.1200,108.7100,107.0800,108.4900,97.7142,58442775,0.2203
2017-02-28,107.7700,109.0600,107.6935,108.7700,97.7671,52612470,0.2180
2017-01-31,107.7300,108.9300,107.7100,108.2900,97.1393,69057058,0.0000
2016-12-30,107.7500,108.3800,107.0600,108.0600,96.9330,78385868,0.4526
2016-11-30,110.8800,111.3200,107.9200,108.2400,96.6871,57506544,0.2098
2016-10-31,112.2100,112.2500,111.0400,111.3000,99.2330,53448682,0.2031
2016-09-30,112.1000,112.7600,111.3400,112.4200,100.0503,52732286,0.2076
2016-08-31,112.5000,112.8572,112.0300,112.5700,99.9992,63904013,0.2067
2016-07-29,112.7200,113.2700,112.2000,113.0200,100.2149,59956784,0.2125
2016-06-30,110.5900,112.6900,110.4100,112.6150,99.6678,52525001,0.2182
2016-05-31,110.7400,111.2600,110.3150,110.7000,97.7797,52299219,0.2052
2016-04-29,110.5300,111.0500,110.2259,110.8900,97.7662,63705045,0.2215
2016-03-31,109.9300,110.8500,109.2100,110.8250,97.5134,62199980,0.2205
2016-02-29,109.1000,110.4990,108.8415,110.0900,96.6721,56400041,0.2280
2016-01-29,108.0900,109.4800,107.8700,109.3500,95.8218,71280682,0.0000
2015-12-31,108.5400,108.8600,107.6000,108.0100,94.6476,70335354,0.5922
2015-11-30,109.0800,109.1900,108.0400,108.8100,94.8304,67383353,0.2146
2015-10-30,109.4800,110.1500,109.1300,109.4500,95.2008,62326479,0.2051
2015-09-30,108.8900,109.6300,108.4000,109.5800,95.1356,47830600,0.2224
2015-08-31,109.2900,110.3400,108.7238,108.9200,94.3701,51948546,0.2129
2015-07-31,108.3300,109.5100,108.1400,109.5000,94.6884,41564827,0.2164
2015-06-30,109.9500,109.9900,108.0400,108.7800,93.8782,41584637,0.2063
2015-05-29,110.5200,110.5302,109.3800,110.1700,94.8992,35236705,0.2061
2015-04-30,111.4200,111.8000,110.5100,110.8600,95.3156,30792171,0.2107
2015-03-31,110.9900,111.7500,109.6000,111.4300,95.6250,53897541,0.1857
2015-02-27,112.0600,112.2300,110.2401,111.2000,95.2675,38739326,0.1761
2015-01-30,110.1800,112.5200,110.1800,112.3800,96.1275,53657097,0.0000
2014-12-31,110.6000,110.6750,109.4600,110.1200,94.1944,44594428,0.6514
2014-11-28,109.8300,110.6200,109.5000,110.6100,94.0550,29779192,0.1920
2014-10-31,109.2000,112.0800,109.1997,109.8880,93.2778,55093007,0.1890
2014-09-30,109.5500,109.6300,108.4500,109.1100,92.4579,28099998,0.1947
2014-08-29,108.8900,110.1200,108.7600,109.9800,93.0297,30610000,0.2000
2014-07-31,109.1100,109.5500,108.4701,108.9300,91.9729,21657000,0.1956
2014-06-30,109.2900,109.5000,108.6100,109.4000,92.2045,20448400,0.2070
