Date,Open,High,Low,Close,Adj Close,Volume
2011-05-04,47.740002,47.740002,47.740002,47.740002,39.219234,0
2011-05-05,47.310001,47.310001,47.310001,47.310001,38.865993,0
2011-05-06,47.500000,47.500000,47.500000,47.500000,39.022068,0
2011-05-09,47.709999,47.709999,47.709999,47.709999,39.194595,0
2011-05-10,48.099998,48.099998,48.099998,48.099998,39.514980,0
2011-05-11,47.590000,47.590000,47.590000,47.590000,39.095993,0
2011-05-12,47.830002,47.830002,47.830002,47.830002,39.293175,0
2011-05-13,47.439999,47.439999,47.439999,47.439999,38.972775,0
2011-05-16,47.150002,47.150002,47.150002,47.150002,38.734539,0
2011-05-17,47.150002,47.150002,47.150002,47.150002,38.734539,0
2011-05-18,47.570000,47.570000,47.570000,47.570000,39.079582,0
2011-05-19,47.680000,47.680000,47.680000,47.680000,39.169941,0
2011-05-20,47.310001,47.310001,47.310001,47.310001,38.865993,0
2011-05-23,46.750000,46.750000,46.750000,46.750000,38.405933,0
2011-05-24,46.709999,46.709999,46.709999,46.709999,38.373085,0
2011-05-25,46.860001,46.860001,46.860001,46.860001,38.496288,0
2011-05-26,47.060001,47.060001,47.060001,47.060001,38.660603,0
2011-05-27,47.259998,47.259998,47.259998,47.259998,38.824913,0
2011-05-31,47.759998,47.759998,47.759998,47.759998,39.235661,0
2011-06-01,46.680000,46.680000,46.680000,46.680000,38.348427,0
2011-06-02,46.619999,46.619999,46.619999,46.619999,38.299137,0
2011-06-03,46.169998,46.169998,46.169998,46.169998,37.929459,0
2011-06-06,45.680000,45.680000,45.680000,45.680000,37.526913,0
2011-06-07,45.639999,45.639999,45.639999,45.639999,37.494038,0
2011-06-08,45.450001,45.450001,45.450001,45.450001,37.337982,0
2011-06-09,45.790001,45.790001,45.790001,45.790001,37.617268,0
2011-06-10,45.150002,45.150002,45.150002,45.150002,37.091507,0
2011-06-13,45.189999,45.189999,45.189999,45.189999,37.124374,0
2011-06-14,45.770000,45.770000,45.770000,45.770000,37.600861,0
2011-06-15,44.970001,44.970001,44.970001,44.970001,36.943642,0
2011-06-16,45.060001,45.060001,45.060001,45.060001,37.017574,0
2011-06-17,45.189999,45.189999,45.189999,45.189999,37.124374,0
2011-06-20,45.439999,45.439999,45.439999,45.439999,37.329727,0
2011-06-21,46.049999,46.049999,46.049999,46.049999,37.830872,0
2011-06-22,45.759998,45.759998,45.759998,45.759998,37.592636,0
2011-06-23,45.630001,45.630001,45.630001,45.630001,37.485836,0
2011-06-24,45.090000,45.090000,45.090000,45.090000,37.042210,0
2011-06-27,45.509998,45.509998,45.509998,45.509998,37.387249,0
2011-06-28,46.110001,46.110001,46.110001,46.110001,37.880165,0
2011-06-29,46.500000,46.500000,46.500000,46.500000,38.200554,0
2011-06-30,46.970001,46.970001,46.970001,46.970001,38.586674,0
2011-07-01,47.650002,47.650002,47.650002,47.650002,39.145302,0
2011-07-05,47.590000,47.590000,47.590000,47.590000,39.095993,0
2011-07-06,47.650002,47.650002,47.650002,47.650002,39.145302,0
2011-07-07,48.150002,48.150002,48.150002,48.150002,39.556061,0
2011-07-08,47.580002,47.580002,47.580002,47.580002,39.087795,0
2011-07-11,46.720001,46.720001,46.720001,46.720001,38.381294,0
2011-07-12,46.509998,46.509998,46.509998,46.509998,38.208775,0
2011-07-13,46.660000,46.660000,46.660000,46.660000,38.332005,0
2011-07-14,46.349998,46.349998,46.349998,46.349998,38.077328,0
2011-07-15,46.610001,46.610001,46.610001,46.610001,38.290920,0
2011-07-18,46.230000,46.230000,46.230000,46.230000,37.978729,0
2011-07-19,46.980000,46.980000,46.980000,46.980000,38.594883,0
2011-07-20,46.959999,46.959999,46.959999,46.959999,38.578445,0
2011-07-21,47.599998,47.599998,47.599998,47.599998,39.104225,0
2011-07-22,47.639999,47.639999,47.639999,47.639999,39.137093,0
2011-07-25,47.369999,47.369999,47.369999,47.369999,38.915276,0
2011-07-26,47.180000,47.180000,47.180000,47.180000,38.759197,0
2011-07-27,46.220001,46.220001,46.220001,46.220001,37.970539,0
2011-07-28,46.080002,46.080002,46.080002,46.080002,37.855515,0
2011-07-29,45.779999,45.779999,45.779999,45.779999,37.609066,0
2011-08-01,45.590000,45.590000,45.590000,45.590000,37.452969,0
2011-08-02,44.430000,44.430000,44.430000,44.430000,36.500019,0
2011-08-03,44.660000,44.660000,44.660000,44.660000,36.688976,0
2011-08-04,42.529999,42.529999,42.529999,42.529999,34.939117,0
2011-08-05,42.509998,42.509998,42.509998,42.509998,34.922691,0
2011-08-08,39.680000,39.680000,39.680000,39.680000,32.597805,0
2011-08-09,41.560001,41.560001,41.560001,41.560001,34.142262,0
2011-08-10,39.750000,39.750000,39.750000,39.750000,32.655315,0
2011-08-11,41.590000,41.590000,41.590000,41.590000,34.166912,0
2011-08-12,41.810001,41.810001,41.810001,41.810001,34.347630,0
2011-08-15,42.720001,42.720001,42.720001,42.720001,35.095226,0
2011-08-16,42.320000,42.320000,42.320000,42.320000,34.766602,0
2011-08-17,42.369999,42.369999,42.369999,42.369999,34.807697,0
2011-08-18,40.480000,40.480000,40.480000,40.480000,33.255028,0
2011-08-19,39.880001,39.880001,39.880001,39.880001,32.762104,0
2011-08-22,39.889999,39.889999,39.889999,39.889999,32.770332,0
2011-08-23,41.250000,41.250000,41.250000,41.250000,33.887585,0
2011-08-24,41.799999,41.799999,41.799999,41.799999,34.339420,0
2011-08-25,41.150002,41.150002,41.150002,41.150002,33.805435,0
2011-08-26,41.779999,41.779999,41.779999,41.779999,34.322998,0
2011-08-29,42.970001,42.970001,42.970001,42.970001,35.300598,0
2011-08-30,43.070000,43.070000,43.070000,43.070000,35.382748,0
2011-08-31,43.290001,43.290001,43.290001,43.290001,35.563488,0
2011-09-01,42.779999,42.779999,42.779999,42.779999,35.144512,0
2011-09-02,41.700001,41.700001,41.700001,41.700001,34.257271,0
2011-09-06,41.389999,41.389999,41.389999,41.389999,34.002602,0
2011-09-07,42.590000,42.590000,42.590000,42.590000,34.988415,0
2011-09-08,42.139999,42.139999,42.139999,42.139999,34.618732,0
2011-09-09,41.020000,41.020000,41.020000,41.020000,33.698635,0
2011-09-12,41.299999,41.299999,41.299999,41.299999,33.928665,0
2011-09-13,41.689999,41.689999,41.689999,41.689999,34.249054,0
2011-09-14,42.259998,42.259998,42.259998,42.259998,34.717316,0
2011-09-15,42.990002,42.990002,42.990002,42.990002,35.317020,0
2011-09-16,43.240002,43.240002,43.240002,43.240002,35.522415,0
2011-09-19,42.810001,42.810001,42.810001,42.810001,35.169155,0
2011-09-20,42.740002,42.740002,42.740002,42.740002,35.111660,0
2011-09-21,41.490002,41.490002,41.490002,41.490002,34.084763,0
2011-09-22,40.169998,40.169998,40.169998,40.169998,33.000355,0
2011-09-23,40.419998,40.419998,40.419998,40.419998,33.205719,0
2011-09-26,41.360001,41.360001,41.360001,41.360001,33.977959,0
2011-09-27,41.799999,41.799999,41.799999,41.799999,34.339420,0
2011-09-28,40.950001,40.950001,40.950001,40.950001,33.641132,0
2011-09-29,41.279999,41.279999,41.279999,41.279999,33.912231,0
2011-09-30,40.250000,40.250000,40.250000,40.250000,33.066063,0
2011-10-03,39.099998,39.099998,39.099998,39.099998,32.121319,0
2011-10-04,39.990002,39.990002,39.990002,39.990002,32.852478,0
2011-10-05,40.720001,40.720001,40.720001,40.720001,33.452190,0
2011-10-06,41.470001,41.470001,41.470001,41.470001,34.068329,0
2011-10-07,40.919998,40.919998,40.919998,40.919998,33.798233,0
2011-10-10,42.310001,42.310001,42.310001,42.310001,34.946323,0
