timestamp,open,high,low,close,adjusted close,volume,dividend amount
2021-07-02,154.3700,156.9000,153.8100,156.7200,156.7200,6211300,0.0000
2021-06-25,150.6500,154.4650,150.6500,154.3000,154.3000,5161310,0.6750
2021-06-18,155.1800,155.1900,150.4400,150.4400,149.7760,5589428,0.0000
2021-06-11,156.1900,156.1900,154.3800,155.2600,154.5747,4397845,0.0000
2021-06-04,156.4800,156.5900,154.0100,155.9800,155.2916,4483391,0.0000
2021-05-28,155.3100,156.1100,154.7950,155.7000,155.0128,6451015,0.0000
2021-05-21,155.2200,155.7000,151.3400,154.5800,153.8977,7403720,0.0000
2021-05-14,157.1500,158.0700,151.3000,155.4400,154.7539,8765530,0.0000
2021-05-07,153.7600,156.8400,153.2200,156.6600,155.9686,6765928,0.0000
2021-04-30,153.4200,153.9596,152.1400,153.0100,152.3347,5764891,0.0000
2021-04-23,152.8700,153.7550,151.4000,153.2700,152.5935,6070971,0.0000
2021-04-16,150.7800,153.2800,150.2800,153.0800,152.4044,6569848,0.0000
2021-04-09,148.9200,150.9000,148.8800,150.8800,150.2141,5956359,0.0000
2021-04-01,147.4200,148.4150,146.9300,148.0900,147.4364,7563341,0.0000
2021-03-26,143.5700,148.1000,142.8800,147.9900,147.3368,7749641,0.5131
2021-03-19,144.8700,145.6300,143.4500,144.1000,142.9555,6705748,0.0000
2021-03-12,141.1700,144.7600,140.7300,144.6500,143.5011,9592734,0.0000
2021-03-05,140.7400,142.5702,136.0200,140.5800,139.4634,11513971,0.0000
2021-02-26,141.0900,142.9100,139.0700,139.2100,138.1043,9229297,0.0000
2021-02-19,143.6700,143.6700,141.5200,141.8300,140.7035,4354841,0.0000
2021-02-12,142.3900,143.6500,142.1800,143.3600,142.2213,4776955,0.0000
2021-02-05,138.3000,142.2000,137.4600,141.8100,140.6837,6789268,0.0000
2021-01-29,140.7900,141.9500,136.5900,137.0500,135.9615,7815183,0.0000
2021-01-22,141.5300,142.3350,140.8000,140.9700,139.8503,5166706,0.0000
2021-01-15,142.0700,142.9500,139.8699,140.7500,139.6321,7272186,0.0000
2021-01-08,141.6100,143.0400,137.9300,142.8500,141.7154,9070480,0.0000
2020-12-31,140.0600,141.4000,139.2900,141.1700,140.0487,4776069,0.0000
2020-12-24,138.5600,139.4600,137.0502,139.2300,138.1241,7255782,0.6644
2020-12-18,139.7100,141.0200,137.9200,140.6900,138.9088,5927673,0.0000
2020-12-11,139.6000,140.0500,137.8400,138.7400,136.9835,6202988,0.0000
2020-12-04,138.3300,140.1900,137.3450,139.8100,138.0400,7535919,0.0000
2020-11-27,137.1100,139.4200,136.3000,138.7000,136.9440,5168237,0.0000
2020-11-20,139.3500,139.5500,136.0100,136.4400,134.7126,6478904,0.0000
2020-11-13,140.5100,140.5100,135.1900,137.8100,136.0653,8452053,0.0000
2020-11-06,127.4400,134.9900,126.5700,134.2600,132.5602,6520990,0.0000
2020-10-30,131.7600,131.8350,124.1400,125.7400,124.1481,7582996,0.0000
2020-10-23,134.3700,134.7700,131.6532,133.1400,131.4544,4869905,0.0000
2020-10-16,134.0000,135.1300,132.0004,134.1800,132.4812,4877241,0.0000
2020-10-09,129.4000,133.7300,128.9300,133.3700,131.6815,5323200,0.0000
2020-10-02,128.5500,130.0300,127.4090,128.5500,126.9225,6179499,0.5575
2020-09-25,126.8000,128.2300,124.5000,127.1400,124.9847,6541176,0.0000
2020-09-18,129.0600,131.4800,127.5100,128.3300,126.1546,6238631,0.0000
2020-09-11,127.9700,130.3800,126.5700,128.0500,125.8793,4635748,0.0000
2020-09-04,131.3600,134.2400,127.2450,129.1000,126.9115,6858463,0.0000
2020-08-28,128.5900,131.7200,128.3720,131.6700,129.4379,4762957,0.0000
2020-08-21,128.3500,128.8500,127.0200,127.9600,125.7908,4089300,0.0000
2020-08-14,126.4300,128.6500,126.3100,127.9900,125.8203,4075195,0.0000
2020-08-07,123.4600,126.3400,123.2080,126.3100,124.1688,4862297,0.0000
2020-07-31,122.9700,124.2200,121.3000,123.0100,120.9247,5036877,0.0000
2020-07-24,122.4600,124.6200,121.8000,122.9000,120.8166,5986976,0.0000
2020-07-17,119.8000,122.8700,118.2900,122.6600,120.5807,7430233,0.0000
2020-07-10,119.2400,119.4700,116.9100,119.2000,117.1793,7320455,0.0000
2020-07-02,114.5200,119.1200,113.7800,117.8500,115.8522,6235932,0.6006
2020-06-26,116.9000,119.1700,114.1700,114.5100,111.9870,6370974,0.0000
2020-06-19,113.3600,119.6700,112.9100,117.2400,114.6568,5931101,0.0000
2020-06-12,122.6600,123.3700,113.6100,115.5900,113.0432,7720433,0.0000
2020-06-05,117.5000,123.1300,117.1300,122.2400,119.5467,6617833,0.0000
2020-05-29,116.1800,118.5000,114.9500,117.6900,115.0969,4871709,0.0000
2020-05-22,113.6600,115.1200,112.7300,113.6700,111.1655,6626672,0.0000
2020-05-15,113.0200,114.3500,107.0800,110.9000,108.4565,7905263,0.0000
2020-05-08,110.6100,114.0600,109.8800,113.8300,111.3220,7430481,0.0000
2020-05-01,113.0600,116.2800,110.8100,111.2200,108.7695,8387676,0.0000
2020-04-24,113.0800,113.9400,108.8500,112.3200,109.8453,8240647,0.0000
2020-04-17,110.7400,114.7600,108.3900,114.5400,112.0163,11466872,0.0000
2020-04-09,104.2900,112.5500,103.9200,111.3300,108.8771,10873275,0.0000
2020-04-03,102.8200,105.5300,98.4000,100.5200,98.3052,13603182,0.0000
2020-03-27,92.0000,104.7400,87.7100,101.7200,99.4788,21828934,0.4740
2020-03-20,96.0800,103.3000,92.9200,93.2300,90.7623,23602903,0.0000
2020-03-13,110.0000,114.7800,99.1300,107.5600,104.7130,20881915,0.0000
2020-03-06,115.5900,122.3800,114.5300,117.4800,114.3704,13129718,0.0000
2020-02-28,125.9900,127.2300,111.6200,114.9100,111.8685,16928413,0.0000
2020-02-21,130.5100,130.9100,128.9600,129.4000,125.9749,3789299,0.0000
2020-02-14,128.4800,130.6900,128.4100,130.6900,127.2308,4726626,0.0000
2020-02-07,125.9000,129.6800,125.9000,128.6300,125.2253,7385738,0.0000
2020-01-31,126.1100,127.8700,125.0000,125.3700,122.0516,6009342,0.0000
2020-01-24,128.3500,129.3200,127.3800,127.7900,124.4076,7982180,0.0000
2020-01-17,125.6900,128.6400,125.5600,128.5900,125.1864,5664932,0.0000
2020-01-10,124.2100,126.2100,124.2000,125.5100,122.1879,5858521,0.0000
